ID,Skill,Description,Category
1173,Linux Console,"The Linux console is a system console internal to the Linux kernel. The Linux console provides a way for the kernel and other processes to send text output to the user, and to receive text input from the user. The user typically enters text with a computer keyboard and reads the output text on a computer monitor. The Linux kernel supports virtual consoles – consoles that are logically separate, but which access the same physical keyboard and display. The Linux console are implemented by the VT subsystem of the Linux kernel, and do not rely on any user space software. This is in contrast to a terminal emulator, which is a user space process that emulates a terminal, and is typically used in a graphical display environment.",SpecializedSkill
1174,Linux Mint,"Linux Mint is a community-driven Linux distribution based on Ubuntu, bundled with a variety of free and open-source applications. It can provide full out-of-the-box multimedia support for those who choose to include proprietary software such as multimedia codecs.",SpecializedSkill
1175,Linux On Embedded Systems,Operating systems based on the Linux kernel are used in embedded systems such as consumer electronics.,SpecializedSkill
1176,Linux On System Z,"Linux on IBM Z is the collective term for the Linux operating system compiled to run on IBM mainframes, especially IBM Z and IBM LinuxONE servers. Similar terms which imply the same meaning are Linux on zEnterprise, Linux on zSeries, Linux/390, Linux/390x, etc.",SpecializedSkill
1177,Logstash,"Elasticsearch is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents. Elasticsearch is developed in Java and is dual-licensed under the source-available Server Side Public License and the Elastic license, while other parts fall under the proprietary (source-available) Elastic License. Official clients are available in Java, .NET (C#), PHP, Python, Apache Groovy, Ruby and many other languages. According to the DB-Engines ranking, Elasticsearch is the most popular enterprise search engine followed by Apache Solr, also based on Lucene.",SpecializedSkill
1178,MISRA C (C Programming Language),"MISRA C is a set of software development guidelines for the C programming language developed by MISRA. Its aims are to facilitate code safety, security, portability and reliability in the context of embedded systems, specifically those systems programmed in ISO C / C90 / C99.",SpecializedSkill
1179,Managed Extensions For C++,"Managed Extensions for C++ or Managed C++ is a now-deprecated set of language extensions for C++, including grammatical and syntactic extensions, keywords and attributes, to bring the C++ syntax and language to the .NET Framework. These extensions were created by Microsoft to allow C++ code to be targeted to the Common Language Runtime (CLR) in the form of managed code, as well as continue to interoperate with native code.",SpecializedSkill
1180,Microsoft Certified: Azure AI Engineer Associate,"Microsoft Azure, often referred to as Azure, is a cloud computing platform operated by Microsoft that provides access, management, and development of applications and services via globally-distributed data centers. Microsoft Azure has multiple capabilities such as software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.",Certification
1181,Microsoft Certified: Azure AI Fundamentals,"Microsoft Azure, often referred to as Azure, is a cloud computing platform operated by Microsoft that provides access, management, and development of applications and services via globally-distributed data centers. Microsoft Azure has multiple capabilities such as software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.",Certification
1182,Microsoft Certified: Azure Cosmos DB Developer Specialty,"Microsoft Azure, often referred to as Azure, is a cloud computing platform operated by Microsoft that provides access, management, and development of applications and services via globally-distributed data centers. Microsoft Azure has multiple capabilities such as software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.",Certification
1183,Microsoft Certified: Azure Data Fundamentals,"Microsoft Azure, often referred to as Azure, is a cloud computing platform operated by Microsoft that provides access, management, and development of applications and services via globally-distributed data centers. Microsoft Azure has multiple capabilities such as software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.",Certification
1184,Microsoft Certified: Azure Data Scientist Associate,"Microsoft Azure, often referred to as Azure, is a cloud computing platform operated by Microsoft that provides access, management, and development of applications and services via globally-distributed data centers. Microsoft Azure has multiple capabilities such as software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.",Certification
1185,Microsoft Certified: Azure Database Administrator Associate,"Microsoft Azure, often referred to as Azure, is a cloud computing platform operated by Microsoft that provides access, management, and development of applications and services via globally-distributed data centers. Microsoft Azure has multiple capabilities such as software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.",Certification
1186,Microsoft Certified: Azure Developer Associate,"Microsoft Azure, often referred to as Azure, is a cloud computing platform operated by Microsoft that provides access, management, and development of applications and services via globally-distributed data centers. Microsoft Azure has multiple capabilities such as software as a service (SaaS), platform as a service (PaaS) and infrastructure as a service (IaaS) and supports many different programming languages, tools, and frameworks, including both Microsoft-specific and third-party software and systems.",Certification
1187,Microsoft Certified: Azure Fundamentals,"Microsoft Certified: Azure Fundamentals is a certification that validates an individual's knowledge and understanding of various fundamental concepts of Microsoft Azure cloud services, including Azure pricing and support, Cloud Concepts, Core Azure Services, Security, Privacy, Compliance, and Trust, Azure Solutions, and Azure management tools. This certification is ideal for IT professionals who want to start their careers in cloud computing or want to add Azure knowledge to their skillset.",Certification
1188,Microsoft SQL Servers,"Microsoft SQL Server is a relational database management system developed by Microsoft. As a database server, it is a software product with the primary function of storing and retrieving data as requested by other software applications—which may run either on the same computer or on another computer across a network. Microsoft markets at least a dozen different editions of Microsoft SQL Server, aimed at different audiences and for workloads ranging from small single-machine applications to large Internet-facing applications with many concurrent users.",SpecializedSkill
1189,Microsoft Windows NT,"Windows NT is a family of operating system versions produced by Microsoft, the first version of which was released on July 27, 1993. It is a processor-independent, multiprocessing and multi-user operating system.",SpecializedSkill
1190,Microsoft Windows SDK,"Microsoft Windows SDK, and its predecessors Platform SDK, and .NET Framework SDK, are software development kits (SDKs) from Microsoft that contain documentation, header files, libraries, samples and tools required to develop applications for Microsoft Windows and .NET Framework. Platform SDK specializes in developing applications for Windows 2000, XP and Windows Server 2003. .NET Framework SDK is dedicated to developing applications for .NET Framework 1.1 and .NET Framework 2.0. Windows SDK is the successor of the two and supports developing applications for Windows XP and later, as well as .NET Framework 3.0 and later.",SpecializedSkill
1191,Mimer SQL,"Mimer SQL is an SQL-based relational database management system produced by the Swedish company Mimer Information Technology AB, formerly known as Upright Database Technology AB. It was originally developed as a research project at the Uppsala University, Uppsala, Sweden in the 1970s before being developed into a commercial product.",SpecializedSkill
1192,Mini SQL (MSQL),mSQL or Mini SQL is a lightweight database management system from Hughes Technologies.,SpecializedSkill
1193,MongoDB,"MongoDB is a source-available cross-platform document-oriented database program. Classified as a NoSQL database program, MongoDB uses JSON-like documents with optional schemas. MongoDB is developed by MongoDB Inc. and licensed under the Server Side Public License (SSPL).",SpecializedSkill
1194,MongoDB Certification,"MongoDB is a source-available cross-platform document-oriented database program developed by Alfons Kemper. Classified as a NoSQL database program, MongoDB uses JSON-like documents with optional schemas. MongoDB is developed by MongoDB Inc. and licensed under the Server Side Public License (SSPL) which is deemed non-free by several distributions. MongoDB is a member of the MACH Alliance.",Certification
1195,MongoDB Certified Developer,"MongoDB is a source-available cross-platform document-oriented database program developed by Alfons Kemper. Classified as a NoSQL database program, MongoDB uses JSON-like documents with optional schemas. MongoDB is developed by MongoDB Inc. and licensed under the Server Side Public License (SSPL) which is deemed non-free by several distributions. MongoDB is a member of the MACH Alliance.",Certification
1196,MySQL Workbench,"MySQL Workbench is a visual database design tool that integrates SQL development, administration, database design, creation and maintenance into a single integrated development environment for the MySQL database system. It is the successor to DBDesigner 4 from fabFORCE.net, and replaces the previous package of software, MySQL GUI Tools Bundle.",SpecializedSkill
1197,Native SQL,"Native SQL is a specialized skill in software development that involves the ability to write and optimize code for databases using SQL (Structured Query Language). It requires a deep understanding of database architecture, indexing, and query optimization techniques that can significantly improve the performance of database operations. This skill is useful for developers who work with relational databases and need to write queries that are compatible with different database systems. It can help organizations to reduce the risk of data errors, improve data processing speeds, and make more informed decisions based on the insights gleaned from their data.",SpecializedSkill
1198,NoSQL,"A NoSQL database provides a mechanism for storage and retrieval of data that is modeled in means other than the tabular relations used in relational databases. Such databases have existed since the late 1960s, but the name \NoSQL\ was only coined in the early 21st century, triggered by the needs of Web 2.0 companies. NoSQL databases are increasingly used in big data and real-time web applications. NoSQL systems are also sometimes called \Not only SQL\ to emphasize that they may support SQL-like query languages or sit alongside SQL databases in polyglot-persistent architectures.",SpecializedSkill
1199,NonStop SQL,"NonStop SQL is a commercial relational database management system that is designed for fault tolerance and scalability, currently offered by Hewlett Packard Enterprise. The latest version is SQL/MX 3.4.",SpecializedSkill
1200,Object Oriented CSS,Object-oriented CSS (OOCSS) is a CSS methodology developed and promoted by Nicole Sullivan.,SpecializedSkill
1201,Object-Oriented JavaScript,"Object-oriented programming (OOP) is a programming paradigm based on the concept of \objects\, which can contain data and code: data in the form of fields, and code, in the form of procedures.",SpecializedSkill
1202,Oracle ATG Web Commerce,"Oracle ATG Web Commerce is a comprehensive e-commerce platform designed to help businesses create and manage online stores. It offers a range of features, including product catalog management, order management, personalized marketing, and customer service. With Oracle ATG Web Commerce, businesses can build and optimize their online store to increase sales, improve customer engagement, and enhance the overall customer experience. It is a specialized skill that requires expertise in programming languages such as Java, HTML, and CSS, as well as experience with the Oracle ATG framework.",SpecializedSkill
1203,Oracle Access Manager,"Oracle Access Manager (OAM) is a software component of the Oracle Identity Management Suite that enables organizations to manage access to web applications and resources by providing single sign-on (SSO), authentication, and authorization services. It is used to protect critical enterprise resources by ensuring that only authorized users can access them. OAM provides centralized security policy management, authentication and authorization services based on user roles and attributes, and supports multiple authentication protocols such as SAML, OAuth, and OpenID Connect. It is a specialized skill as it requires expertise in configuring and managing OAM to provide secure access to web applications and resources.",SpecializedSkill
1204,Oracle Adf,"In computing, Oracle Application Development Framework, usually called Oracle ADF, provides a Java framework for building enterprise applications. It provides visual and declarative approaches to Java EE development. It supports rapid application development based on ready-to-use design patterns, metadata-driven and visual tools.",SpecializedSkill
